Source,Reused-human,Final-annnotation
How do I transfer ola money to Bank?,میں اولا منی کو بینک میں کیسے منتقل کروں؟,M
How do I hide apps on an انڈروئد phone without rooting in any version of your انڈروئد?,میں انڈروئڈ فون میں بغیر روٹنگ کے کسی بھی ورژن میں ایپس کیسے چھپا سکتا ہوں؟,M
How do startup accelerators give you the funding?,اسٹارٹ اپ ایکسیلیریٹرز کس طرح فنڈنگ فراہم کرتے ہیں؟,M
How can I use Framer.js? How do I install it or include them in an HTML page and start prototyping?,میں فریمر جے ایس کو کیسے استعمال کر سکتا ہوں؟ میں اسے کیسے انسٹال یا ایچ ٹی ایم ایل صفحے میں شامل کر کے پروٹوٹائپنگ شروع کر سکتا ہوں؟,M
What are issues of problems facing organization?,کسی تنظیم کو درپیش مسائل اور مشکلات کیا ہیں؟,M
How do I change the registered mobile number for the DBS bank account?,میں ڈی بی ایس بینک اکاؤنٹ کے لیے رجسٹرڈ موبائل نمبر کیسے تبدیل کروں؟,M
How do you connect HDMI computer to VGA monitor?,ایچ ڈی ایم آئی کمپیوٹر کو وی جی اے مانیٹر سے کیسے جوڑا جا سکتا ہے؟,M
Is there a meaning behind the Destiny logo?,کیا ڈیسٹنی لوگو کے پیچھے کوئی مطلب ہے؟,M
What is it like to live in the big cities of Jamaica compared to the ones in Mexico?,جمیکا کے بڑے شہروں میں رہنے کا تجربہ میکسیکو کے شہروں کے مقابلے میں کیسا ہے؟,M
What is the purpose of your life?,آپ کی زندگی کا مقصد کیا ہے؟,M
How did pioneers cure rattlesnake bites back in the day?,پرانے وقتوں میں لوگ ریٹل سنیک کے کاٹنے کا علاج کیسے کرتے تھے؟,M
How do I play FarmVille on Google+?,میں گوگل پلس پر فارم وِل کیسے کھیل سکتا ہوں؟,M
Pitch a Marvel anthology series?,مارول انتھولوجی سیریز کی تجویز کیسے دی جا سکتی ہے؟,M
What is state in constitution of India?,بھارت کے آئین میں ریاست کیا ہے؟,M
Is it good to do gym at morning and swimming at noon?,کیا صبح کے وقت جم کرنا اور دوپہر میں تیرنا اچھا ہے؟,M
What is spiritism?,اسپریٹ ازم کیا ہے؟,M
Do employees at Duke Realty have a good work-life balance? Does this differ across positions and departments?,کیا ڈیوک ریئلٹی کے ملازمین کے لیے کام اور ذاتی زندگی میں توازن اچھا ہوتا ہے؟ کیا یہ مختلف عہدوں اور محکموں میں مختلف ہوتا ہے؟,M
I will start eating one egg per day for a month. What other small thing can I add that has very low calories and would keep me healthy? Fruit maybe?,میں ایک مہینے تک روزانہ ایک انڈہ کھانا شروع کروں گا۔ میں اور کون سی چھوٹی چیز شامل کر سکتا ہوں جو بہت کم کیلوریز رکھتی ہو اور مجھے صحت مند رکھے؟ کیا پھل ایک اچھا انتخاب ہوگا؟,M
Does women desire sex equally as much as men do?,کیا خواتین بھی مردوں کی طرح برابر جنسی خواہش رکھتی ہیں؟,M
How do you feel when someone points out your mistake?,جب کوئی آپ کی غلطی کی نشاندہی کرتا ہے تو آپ کیسا محسوس کرتے ہیں؟,M
SEO or SMO which help to get more business?,"ایس ای او یا ایس ایم او، کون سا زیادہ کاروبار حاصل کرنے میں مدد کرتا ہے؟",M
"I have a cataract in my eye, Am I eligible for Indian Airforce?","میرے آنکھ میں موتیا ہے، کیا میں بھارتی فضائیہ کے لیے اہل ہوں؟",M
What are the best ways to lose weight?,وزن کم کرنے کے بہترین طریقے کون سے ہیں؟,M
"Where is the Baraka River located, and how does it compare to the White Nile?","باراکا دریا کہاں واقع ہے، اور یہ دریائے نیل سفید کے مقابلے میں کیسا ہے؟",M
Can all women have anal sex?,کیا تمام عورتیں مقعدی جنسی تعلق قائم کر سکتی ہیں؟,M
How can I book Ronda Rousey to star in an adult movie?,میں رونڈا روزی کو کسی بالغ فلم میں کام کرنے کے لیے کیسے بُک کر سکتا ہوں؟,M
"Why did aircraft stop using variable-sweep wings, like those on an F-14?","طیاروں نے متغیر جھکاؤ والے پروں کا استعمال کیوں بند کر دیا، جیسے ایف-14 میں تھے؟",M
Why do you think Donald Trump is getting so much support?,آپ کے خیال میں ڈونلڈ ٹرمپ کو اتنی زیادہ حمایت کیوں مل رہی ہے؟,M
I got a score of 99 in TOEFL will it negate my AWA score of 3.0?,"میں نے ٹی او ای ایف ایل میں 99 نمبر حاصل کیے، کیا یہ میرے اے ڈبلیو اے کے 3.0 اسکور کو منفی طور پر متاثر کرے گا؟",M
Does okha express provide food?,کیا اوکھا ایکسپریس کھانے کی سہولت فراہم کرتی ہے؟,M
I can feel a little mass protruding out when I touch the back of my skull on both sides of the hemispheres. Is this a tumor?,جب میں اپنے سر کے پچھلے حصے کو دونوں طرف چھوتا ہوں تو مجھے ایک چھوٹا سا ابھار محسوس ہوتا ہے۔ کیا یہ رسولی ہے؟,M
Which army would win if fights occured between US troops from WW2 and US troops from Vietnam war?,جب میں اپنے کھوپڑی کے پچھلے حصے کو دونوں نصف کرہ کے اطراف میں چھوتا ہوں تو مجھے ایک چھوٹا سا ابھار محسوس ہوتا ہے۔ کیا یہ ٹیومر ہے؟,M
What are some tips for learning the guitar on your own?,اگر دوسری عالمی جنگ کی امریکی افواج اور ویتنام جنگ کی امریکی افواج کے درمیان لڑائیاں ہوئیں تو کون سی فوج فتح حاصل کرے گی؟,M
What is it like to have unique name?,خود سے گٹار سیکھنے کے لیے کچھ تجاویز کیا ہیں؟,M
Is there a possibility to grow taller at 17?,منفرد نام رکھنے کا تجربہ کیسا ہوتا ہے؟,M
I cannot control my urge to have sweets. I feel addicted. I have lost control over my mind. What can I do?,کیا 17 سال کی عمر میں قد میں اضافہ ہونے کا امکان ہے؟,M
How do I physically speak with a softer voice?,میں مٹھائی کھانے کی خواہش کو قابو میں نہیں رکھ سکتا۔ مجھے نشے کی طرح محسوس ہوتا ہے۔ میں نے اپنے ذہن پر قابو کھو دیا ہے۔ میں کیا کر سکتا ہوں؟,M
Is the U.S. un-invadable?,میں جسمانی طور پر نرم آواز میں بات کیسے کر سکتا ہوں؟,M
Could all bitcoin mining be done by a single Raspberry Pi?,کیا امریکہ ناقابل حملہ ہے؟,M
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?",کیا تمام بٹ کوائن کان کنی ایک واحد ریسبیری پائی سے کی جا سکتی ہے؟,M
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,"میری سابقہ محبوبہ میری گاڑی کے بیمہ میں شامل ہے۔ اس کے پاس اپنی گاڑی ہے۔ میں نے سوچا تھا کہ میں اسے بیمہ پر اسی طرح رکھوں گا یہاں تک کہ وہ 25 سال کی ہو جائے (فروری)، شاید مہربانی کے لیے۔ میں نے اس کی ایک دوست کو اس کی گاڑی چلاتے دیکھا۔ اگر وہ کسی کو اپنی گاڑی ادھار دیتی ہے اور کچھ ہو جاتا ہے تو کیا مجھ پر کوئی ذمہ داری عائد ہو سکتی ہے؟",M
Where is my downloaded iTunes music on my iPad?,میرے آئی پیڈ پر ڈاؤن لوڈ کی گئی آئی ٹیونز موسیقی کہاں ملے گی؟,M
What's the best energy drink that can keep a person going all day long?,کون سا انرجی ڈرنک بہترین ہے جو کسی شخص کو پورا دن چاق و چوبند رکھ سکتا ہے؟,M
How long does your sex last?,آپ کا جنسی عمل کتنی دیر تک جاری رہتا ہے؟,M
Why are Muslims often stereotyped as terrorists?,مسلمانوں کو اکثر دہشت گرد کے طور پر کیوں دقیانوسی تصورات میں پیش کیا جاتا ہے؟,M
What is the aim of science?,سائنس کا مقصد کیا ہے؟,M
What are some best books for CAT preparation?,کیٹ کی تیاری کے لیے بہترین کتابیں کون سی ہیں؟,M
How can I get food stamps in college?,کالج میں فوڈ اسٹیمپ کیسے حاصل کر سکتا ہوں؟,M
In what instance is a half cord of wood necessary over a full cord of wood?,کن حالات میں آدھا کارڈ لکڑی مکمل کارڈ لکڑی پر ترجیح دی جاتی ہے؟,M
Can we cancel a 'Tatkal waiting list' ticket?,کیا ہم 'تتکال ویٹنگ لسٹ' کا ٹکٹ منسوخ کر سکتے ہیں؟,M
"I got a right wrist fracture, I want to join the gym again should I?","میری دائیں کلائی میں فریکچر ہو گیا ہے، میں دوبارہ جم جانا چاہتا ہوں، کیا مجھے جانا چاہیے؟",M
Why should we avoid hot tea in plastic cup?,کیوں ہمیں پلاسٹک کے کپ میں گرم چائے پینے سے گریز کرنا چاہیے؟,M
How do I increase grey matter in the brain?,دماغ میں گرے میٹر بڑھانے کے لیے میں کیا کروں؟,M
What does it feel like to have a man ejaculate inside your anus (without a condom)?,کسی مرد کا بغیر کنڈوم کے آپ کے مقعد میں انزال ہونا کیسا محسوس ہوتا ہے؟,M
How do I use Python for web development? What are the tools and the methodologies used?,ویب ڈیولپمنٹ کے لیے میں پائتھن کو کیسے استعمال کروں؟ کون سے اوزار اور طریقہ کار استعمال ہوتے ہیں؟,M
Who  funded douban.com?,ڈوبان ڈاٹ کام کو کس نے فنڈ کیا؟,M
Does Anthony Bourdain own any restaurants?,کیا انتھونی بورڈین کی کوئی ریستوران ہے؟,M
What is the standard amount of time off given for an international relocation?,بین الاقوامی منتقلی کے لیے عمومی طور پر کتنے دن کی چھٹی دی جاتی ہے؟,M
How do you act sympathetic for someones pain over text?,کسی کے درد پر پیغام کے ذریعے ہمدردی کا اظہار کیسے کیا جائے؟,M
What are some mind blowing tools and things that most people don't know?,کون سے حیرت انگیز اوزار اور چیزیں ہیں جن کے بارے میں زیادہ تر لوگ نہیں جانتے؟,M
Who has proved himself/herself the best Chief Minister of India to date?,اب تک بھارت کے سب سے بہترین چیف منسٹر ہونے کا ثبوت کس نے دیا ہے؟,M
"Why is ""The Sound of Music"" motion picture still so famous?","""دی ساؤنڈ آف میوزک"" فلم اب بھی اتنی مشہور کیوں ہے؟",M
"Will ""Lucy"" get a sequel?","کیا ""لوسی"" کا سیکوئل آئے گا؟",M
Is it safe to buy from AliExpress?,کیا علی ایکسپریس سے خریداری محفوظ ہے؟,M
How do I get a job in NASA from India?,میں انڈیا سے ناسا میں نوکری کیسے حاصل کر سکتا ہوں؟,M
What does it mean when my boyfriend calls me sexy?,"جب میرا بوائے فرینڈ مجھے ""سیکسی"" کہتا ہے تو اس کا کیا مطلب ہوتا ہے؟",M
What are some things new employees should know going into their first day at Marcus?,مارکس میں پہلے دن نوکری پر آنے والے نئے ملازمین کو کن باتوں کا علم ہونا چاہیے؟,M
Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,سی بی ایس ای بورڈ جماعت دسویں اور بارہویں کے امتحانات کے لیے اتنے مشکل پرچے کیوں تیار کرتا ہے؟,M
What is the best way to prepare for IITJEE?,آئی آئی ٹی جے ای ای کی تیاری کا بہترین طریقہ کیا ہے؟,M
Can I renounce my US citizenship?,کیا میں اپنی امریکی شہریت چھوڑ سکتا ہوں؟,M
What are some questions that reveal the character of a female person?,کون سے سوالات ایک خاتون کے کردار کو ظاہر کرتے ہیں؟,M
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,کمپیوٹر پروگرامنگ کے الگوردمز کو سمجھنے کے لیے ایک مکمل نئے شخص کو کون سا ریاضی آنا چاہیے؟اور ابتدائی افراد کے لیے الگوردمز کی کون سی کتابیں مناسب ہیں؟,M
Whatâ€™s the best way to get someone to stop for you as a hitchhiker?,بطور ہچ ہائیکر کسی کو اپنے لیے رکنے پر مجبور کرنے کا بہترین طریقہ کیا ہے؟,M
I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,میں حال ہی میں بہت زیادہ فون استعمال کر رہا ہوں۔ مجھے لگتا ہے کہ میں نے فون زیادہ استعمال کرنے سے اے ڈی ایچ ڈی حاصل کر لی ہے۔ میں کیا کروں؟,M
"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?","پینگرامز: انگریزی میں تمام حروفِ تہجی کو بالکل ایک بار استعمال کرتے ہوئے، اور ایک لغت منتخب کرتے ہوئے، کیا آپ ایک جملہ یا عام الفاظ کا مجموعہ بنا سکتے ہیں؟",M
"28,34,18,24,26,30,35,33,38,40,31,37 find the median, mod and mean of the following data.?","۲۸، ۳۴، ۱۸، ۲۴، ۲۶، ۳۰، ۳۵، ۳۳، ۳۸، ۴۰، ۳۱، ۳۷ میں میڈین، موڈ اور مین کیا ہے؟",M
Why is my steering wheel light?,میری اسٹیئرنگ وہیل ہلکی کیوں لگتی ہے؟,M
"When do you use ""&"" instead of ""and""?","کب ""&"" کا استعمال ""and"" کے بجائے کیا جاتا ہے؟",M
Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,"کیا بالی ووڈ انڈسٹری باہر سے آنے والوں کی حوصلہ افزائی نہیں کرتی؟ مثلاً، باہر سے آنے والوں کو صرف ایک یا زیادہ سے زیادہ دو مواقع ملتے ہیں جبکہ اسٹار بچوں کو کئی مواقع دیے جاتے ہیں؟",M
What are the causes of low sperm count?,نطفہ کی کمی کی وجوہات کیا ہیں؟,M
How many jobs has Donald Trump created/support?,ڈونلڈ ٹرمپ نے کتنی نوکریاں پیدا کیں یا ان کی مدد کی؟,M
"Is it wrong that I find it ignorant of Americans to say that America is the best country in the world? I'm American living in Sydney, Australia ","کیا یہ غلط ہے کہ مجھے یہ جملہ امریکیوں کی جہالت لگتا ہے کہ ""امریکہ دنیا کا سب سے بہترین ملک ہے""؟ میں ایک امریکی ہوں اور سڈنی، آسٹریلیا میں رہتا ہوں",M
What is an easy way to attach scrapy to my web app?,اپنے ویب ایپ سے اسکریپی کو آسانی سے منسلک کرنے کا طریقہ کیا ہے؟,M
"How can I recover the images, videos and files I accidentally deleted from the internal memory of my phone?","میں اپنے فون کی اندرونی میموری سے غلطی سے حذف شدہ تصاویر، ویڈیوز اور فائلز کیسے بحال کر سکتا ہوں؟",M
How do I introduce myself in a interview of a teacher?,ایک استاد کے انٹرویو میں خود کو کیسے متعارف کراؤں؟,M
What have been some of the most significant contributions towards the standard model?,معیاری ماڈل کی طرف کی جانے والی سب سے اہم کوششیں کون سی رہی ہیں؟,M
"How many problems in total, an approximate guess, does the GeeksforGeeks website have?","تقریباً اندازاً، گیئکس فار گیئکس ویب سائٹ پر کل کتنے مسائل موجود ہیں؟",M
What is the best presentation software for you tube video making (both paid and free)?,یوٹیوب ویڈیوز بنانے کے لیے بہترین پریزنٹیشن سافٹ ویئر کون سا ہے؟ (مفت اور خریدے جانے والے دونوں),M
How do I personalize my Quora feed?,میں اپنے کوورا فیڈ کو ذاتی نوعیت کا کیسے بنا سکتا ہوں؟,M
How can I book a short duration freighter/cargo ship cruise with only US ports of call?,میں صرف امریکی بندرگاہوں کے ساتھ مختصر مدت کی مال بردار/کارگو شپ کی سیر کیسے بک کر سکتا ہوں؟,M
How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,میں انڈین انجینئرنگ کالج میں چار سال ضائع کیے بغیر کمپیوٹر سائنس اور پروگرامنگ میں مہارت کیسے حاصل کر سکتا ہوں؟,M
"What do non-Indians feel about M.S. Dhoni, Virat Kohli, and company?","غیر بھارتی افراد کا ایم ایس دھونی، ویرات کوہلی اور ان کی ٹیم کے بارے میں کیا خیال ہے؟",M
What are common required and elective courses in philosophy?,فلسفہ میں عام لازمی اور اختیاری مضامین کون سے ہوتے ہیں؟,M
Should I join a coaching for CAT?,کیا مجھے کیٹ کی تیاری کے لیے کوچنگ جوائن کرنی چاہیے؟,M
"I am a young adult woman and I've never had a boyfriend. Is this normal, or is something wrong with me?",میں ایک نوجوان بالغ عورت ہوں اور میرا کبھی بوائے فرینڈ نہیں رہا۔ کیا یہ معمول کی بات ہے یا میرے ساتھ کچھ غلط ہے؟,M
What is the legacy of Michael Jackson?,مائیکل جیکسن کی وراثت کیا ہے؟,M
What is the difference between urban and rural?,شہری اور دیہی علاقوں میں کیا فرق ہے؟,M
What is an orientation programme?,اورینٹیشن پروگرام کیا ہوتا ہے؟,M
What's life after retirement?,ریٹائرمنٹ کے بعد زندگی کیسی ہوتی ہے؟,M
What do I do when I don't feel like doing anything?,جب کسی کام کا دل نہ کرے تو کیا کرنا چاہیے؟,M
What computer science courses should I take If I want to join a product based or e-commerce company?,اگر میں کسی پروڈکٹ بیسڈ یا ای کامرس کمپنی میں جانا چاہوں تو کمپیوٹر سائنس کے کون سے کورسز لینے چاہئیں؟,M
"100-101 ICND1 got expired on August 20th, 2016. Does it mean that there won't be CCNA v2 exam anymore?","۱۰۰-۱۰۱ آئی سی این ڈی ۱ اگست ۲۰، ۲۰۱۶ کو ختم ہو گیا۔ کیا اس کا مطلب ہے کہ اب سی سی این اے ورژن ۲ کا امتحان نہیں ہو گا؟",M
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?",میری سابقہ گرل فرینڈ میری کار انشورنس پر شامل ہے۔ اس کے پاس اپنی گاڑی ہے۔ میں نے سوچا تھا کہ اسے فروری میں ۲۵ سال کی عمر تک چھوڑ دوں صرف مہربانی کے طور پر۔ میں نے اس کے ایک دوست کو اس کی گاڑی چلاتے دیکھا۔ اگر وہ اپنی گاڑی کسی اور کو چلانے دے اور کچھ ہو جائے تو کیا اس کا کوئی اثر مجھ پر پڑ سکتا ہے؟,M
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,میں بٹ بکٹ کو مائیکروسافٹ ایژور کے ساتھ کیسے ضم کر کے ایپلیکیشنز بناؤں اور تعینات کروں؟,M
Where is my downloaded iTunes music on my iPad?,میرے آئی پیڈ پر آئی ٹیونز سے ڈاؤنلوڈ کیا گیا موسیقی کہاں ملے گا؟,M
What's the best energy drink that can keep a person going all day long?,وہ کون سی بہترین انرجی ڈرنک ہے جو سارا دن توانائی فراہم کر سکتی ہے؟,M
How long does your sex last?,آپ کا جنسی عمل کتنی دیر تک جاری رہتا ہے؟,M
What is the aim of science?,سائنس کا مقصد کیا ہے؟,M
What are some best books for CAT preparation?,کیٹ کی تیاری کے لیے بہترین کتابیں کون سی ہیں؟,M
How can I get food stamps in college?,کالج میں فوڈ اسٹامپس کیسے حاصل کیے جا سکتے ہیں؟,M
In what instance is a half cord of wood necessary over a full cord of wood?,کن حالات میں آدھی لکڑی کی ضرورت پوری لکڑی کے بجائے ہوتی ہے؟,M
Can we cancel a 'Tatkal waiting list' ticket?,کیا ہم 'تتکال ویٹنگ لسٹ' کا ٹکٹ منسوخ کر سکتے ہیں؟,M
"I got a right wrist fracture, I want to join the gym again should I?","میری دائیں کلائی کی ہڈی ٹوٹ گئی ہے، میں دوبارہ جم جوائن کرنا چاہتا ہوں، کیا مجھے کرنا چاہیے؟",M
Why should we avoid hot tea in plastic cup?,کیوں ہمیں پلاسٹک کے کپ میں گرم چائے پینے سے گریز کرنا چاہیے؟,M
How do I increase grey matter in the brain?,دماغ میں گرے میٹر بڑھانے کے لیے میں کیا کروں؟,M
What does it feel like to have a man ejaculate inside your anus (without a condom)?,کسی مرد کا بغیر کنڈوم کے آپ کے مقعد میں انزال ہونا کیسا محسوس ہوتا ہے؟,M
How do I use Python for web development? What are the tools and the methodologies used?,ویب ڈیولپمنٹ کے لیے میں پائتھن کو کیسے استعمال کروں؟ کون سے اوزار اور طریقہ کار استعمال ہوتے ہیں؟,M
Who  funded douban.com?,ڈوبان ڈاٹ کام کو کس نے فنڈ کیا؟,M
Does Anthony Bourdain own any restaurants?,کیا انتھونی بورڈین کی کوئی ریستوران ہے؟,M
What is the standard amount of time off given for an international relocation?,بین الاقوامی منتقلی کے لیے عمومی طور پر کتنے دن کی چھٹی دی جاتی ہے؟,M
How do you act sympathetic for someones pain over text?,"ایس بی آئی لائف ممبئی میں ملازمین کے لیے ورکنگ ماحول کیسا ہوتا ہے، اور کیا یہ ماحول ادارے کی مجموعی کارکردگی پر اثر انداز ہوتا ہے؟",M
How do you act sympathetic for someones pain over text?,"جیک ولیم کو کون سا پھل زیادہ پسند ہے، اور اس پھل کے انتخاب کے پیچھے کوئی خاص وجہ یا صحت سے متعلق ترجیحات تو نہیں ہیں؟",M
Who has proved himself/herself the best Chief Minister of India to date?,"بغیر بھارتی پاسپورٹ کے کن ممالک میں سفر کرنا ممکن ہے، اور وہاں کے داخلے کے لیے اضافی قانونی تقاضے کیا ہو سکتے ہیں؟",M
"Why is ""The Sound of Music"" motion picture still so famous?","میرا کتا اکثر میرے اوپر آکر کیوں بیٹھتا ہے؟ کیا یہ اس کے مزاج، وابستگی یا کسی خاص ضرورت کا اظہار ہوتا ہے؟",M
"Will ""Lucy"" get a sequel?",کیا ایسی ملازمتیں موجود ہیں جو بیک وقت تخلیقی صلاحیت اور ٹیکنالوجی کی مہارت کے امتزاج سے فائدہ اٹھا سکیں؟,M
Is it safe to buy from AliExpress?,کیا علی ایکسپریس سے خریداری محفوظ ہے؟,M
How do I get a job in NASA from India?,میں انڈیا سے ناسا میں نوکری کیسے حاصل کر سکتا ہوں؟,M
What does it mean when my boyfriend calls me sexy?,"جب میرا بوائے فرینڈ مجھے ""سیکسی"" کہتا ہے تو اس کا کیا مطلب ہوتا ہے؟",M
What are some things new employees should know going into their first day at Marcus?,مارکس میں پہلے دن نوکری پر آنے والے نئے ملازمین کو کن باتوں کا علم ہونا چاہیے؟,M
Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,سی بی ایس ای بورڈ جماعت دسویں اور بارہویں کے امتحانات کے لیے اتنے مشکل پرچے کیوں تیار کرتا ہے؟,M
What is the best way to prepare for IITJEE?,آئی آئی ٹی جے ای ای کی تیاری کا بہترین طریقہ کیا ہے؟,M
Can I renounce my US citizenship?,کیا میں اپنی امریکی شہریت چھوڑ سکتا ہوں؟,M
What are some questions that reveal the character of a female person?,"سنسناٹی، اوہائیو میں سردیوں کے موسم میں عام طور پر درجہ حرارت اور موسمی تبدیلیاں کیسی ہوتی ہیں، اور کیا وہاں شدید سردی کے لیے تیاری ضروری ہے؟",M
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,ایک مکمل نئے شخص کو کمپیوٹر پروگرامنگ کے الگوردمز سمجھنے کے لیے کون سا ریاضی جاننا ضروری ہے؟اور الگوردمز پر کون سی کتابیں مکمل ابتدائی افراد کے لیے موزوں ہیں؟,M
Whatâ€™s the best way to get someone to stop for you as a hitchhiker?,بطور ہچ ہائیکر کسی کو اپنے لیے رکنے پر مجبور کرنے کا بہترین طریقہ کیا ہے؟,M
I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,میں حال ہی میں بہت زیادہ فون استعمال کر رہا ہوں۔ مجھے لگتا ہے کہ میں نے فون زیادہ استعمال کرنے سے اے ڈی ایچ ڈی حاصل کر لی ہے۔ میں کیا کروں؟,M
"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?","نگرامز: انگریزی میں تمام حروفِ تہجی کو بالکل ایک بار استعمال کرتے ہوئے، اور ایک لغت منتخب کرتے ہوئے، کیا آپ ایک جملہ یا عام الفاظ کا مجموعہ بنا سکتے ہیں؟",M
"28,34,18,24,26,30,35,33,38,40,31,37 find the median, mod and mean of the following data.?","۲۸، ۳۴، ۱۸، ۲۴، ۲۶، ۳۰، ۳۵، ۳۳، ۳۸، ۴۰، ۳۱، ۳۷ میں میڈین، موڈ اور مین کیا ہے؟",M
Why is my steering wheel light?,میری اسٹیئرنگ وہیل ہلکی کیوں لگتی ہے؟,M
"When do you use ""&"" instead of ""and""?","کب ""&"" کا استعمال ""and"" کے بجائے کیا جاتا ہے؟",M
Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,"کیا بالی ووڈ انڈسٹری باہر سے آنے والوں کی حوصلہ افزائی نہیں کرتی؟ مثلاً، باہر سے آنے والوں کو صرف ایک یا زیادہ سے زیادہ دو مواقع ملتے ہیں جبکہ اسٹار بچوں کو کئی مواقع دیے جاتے ہیں؟",M
What are the causes of low sperm count?,نطفہ کی کمی کی وجوہات کیا ہیں؟,M
How many jobs has Donald Trump created/support?,ڈونلڈ ٹرمپ نے کتنی نوکریاں پیدا کیں یا ان کی مدد کی؟,M
"Is it wrong that I find it ignorant of Americans to say that America is the best country in the world? I'm American living in Sydney, Australia ","کیا یہ غلط ہے کہ مجھے یہ جملہ امریکیوں کی جہالت لگتا ہے کہ ""امریکہ دنیا کا سب سے بہترین ملک ہے""؟ میں ایک امریکی ہوں اور سڈنی، آسٹریلیا میں رہتا ہوں",M
What is an easy way to attach scrapy to my web app?,اپنے ویب ایپ سے اسکریپی کو آسانی سے منسلک کرنے کا طریقہ کیا ہے؟,M
"How can I recover the images, videos and files I accidentally deleted from the internal memory of my phone?","میں اپنے فون کی اندرونی میموری سے غلطی سے حذف شدہ تصاویر، ویڈیوز اور فائلز کیسے بحال کر سکتا ہوں؟",M
How do I introduce myself in a interview of a teacher?,ایک استاد کے انٹرویو میں خود کو کیسے متعارف کراؤں؟,M
What have been some of the most significant contributions towards the standard model?,معیاری ماڈل کی طرف کی جانے والی سب سے اہم کوششیں کون سی رہی ہیں؟,M
"How many problems in total, an approximate guess, does the GeeksforGeeks website have?","تقریباً اندازاً، گیئکس فار گیئکس ویب سائٹ پر کل کتنے مسائل موجود ہیں؟",M
What is the best presentation software for you tube video making (both paid and free)?,یوٹیوب ویڈیوز بنانے کے لیے بہترین پریزنٹیشن سافٹ ویئر کون سا ہے؟ (مفت اور خریدے جانے والے دونوں)میں اپنے کوورا فیڈ کو ذاتی نوعیت کا کیسے بنا سکتا ہوں؟,M
How do I personalize my Quora feed?,میں صرف امریکی بندرگاہوں کے ساتھ مختصر مدت کی مال بردار/کارگو شپ کی سیر کیسے بک کر سکتا ہوں؟,M
How can I book a short duration freighter/cargo ship cruise with only US ports of call?,میں انڈین انجینئرنگ کالج میں چار سال ضائع کیے بغیر کمپیوٹر سائنس اور پروگرامنگ میں مہارت کیسے حاصل کر سکتا ہوں؟,M
How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,"غیر بھارتی افراد کا ایم ایس دھونی، ویرات کوہلی اور ان کی ٹیم کے بارے میں کیا خیال ہے؟",M
"What do non-Indians feel about M.S. Dhoni, Virat Kohli, and company?","غیر بھارتی لوگ ایم۔ایس۔دھونی، ویرات کوہلی اور ان کی ٹیم کے بارے میں کیا محسوس کرتے ہیں؟",M
What are common required and elective courses in philosophy?,فلسفے میں عمومی لازمی اور اختیاری کورسز کون سے ہوتے ہیں؟,M
Should I join a coaching for CAT?,کیا مجھے سی اے ٹی کی تیاری کے لیے کوچنگ جوائن کرنی چاہیے؟,M
"I am a young adult woman and I've never had a boyfriend. Is this normal, or is something wrong with me?",میں ایک نوجوان لڑکی ہوں اور میرا کبھی کوئی بوائے فرینڈ نہیں رہا۔ کیا یہ معمول کی بات ہے یا میرے ساتھ کچھ غلط ہے؟,M
What is the legacy of Michael Jackson?,مائیکل جیکسن کی میراث کیا ہے؟,M
What is the difference between urban and rural?,شہری اور دیہی میں کیا فرق ہوتا ہے؟,M
What is an orientation programme?,تعارفی پروگرام کیا ہوتا ہے؟,M
What's life after retirement?,ریٹائرمنٹ کے بعد کی زندگی کیسی ہوتی ہے؟,M
What do I do when I don't feel like doing anything?,جب کچھ کرنے کا دل نہ کرے تو کیا کرنا چاہیے؟,M
What computer science courses should I take If I want to join a product based or e-commerce company?,اگر میں کسی پراڈکٹ بیسڈ یا ای-کامرس کمپنی میں شامل ہونا چاہوں تو مجھے کمپیوٹر سائنس کے کون سے کورسز لینے چاہییں؟,M
